时间,断面名称,pH(无量纲),溶解氧(mg/L),高锰酸盐指数(mg/L),氨氮(mg/L),经度,纬度
2021-6-17 12:00,中卫下河沿(新墩),8.23,8.35,3.09,0.1,105.196902,37.499972
2021-6-17 16:00,中卫下河沿(新墩),7.56,8.16,3.12,0.08,105.196902,37.499972
2021-6-17 20:00,中卫下河沿(新墩),7.92,8.06,3.24,0.11,105.196902,37.499972
2021-6-18 0:00,中卫下河沿(新墩),7.92,8.11,2.99,0.12,105.196902,37.499972
2021-6-18 4:00,中卫下河沿(新墩),7.9,8.12,3.2,0.06,105.196902,37.499972
2021-6-18 8:00,中卫下河沿(新墩),7.9,8.21,3.15,0.09,105.196902,37.499972
2021-6-18 12:00,中卫下河沿(新墩),7.85,8.25,3.23,0.12,105.196902,37.499972
2021-6-18 16:00,中卫下河沿(新墩),7.77,8.12,3.32,0.14,105.196902,37.499972
2021-6-18 20:00,中卫下河沿(新墩),7.74,8.08,3.17,0.1,105.196902,37.499972
2021-6-19 0:00,中卫下河沿(新墩),7.74,8.09,3.49,0.11,105.196902,37.499972
2021-6-19 4:00,中卫下河沿(新墩),7.75,8.08,3.43,0.05,105.196902,37.499972
2021-6-19 8:00,中卫下河沿(新墩),7.74,8.07,3.32,0.1,105.196902,37.499972
2021-6-19 12:00,中卫下河沿(新墩),7.71,8.12,3.32,0.1,105.196902,37.499972
2021-6-19 16:00,中卫下河沿(新墩),7.63,8.1,3.26,0.08,105.196902,37.499972
2021-6-19 20:00,中卫下河沿(新墩),7.57,8,3.29,0.03,105.196902,37.499972
2021-6-20 0:00,中卫下河沿(新墩),7.59,8,3.24,0.065,105.196902,37.499972
2021-6-20 4:00,中卫下河沿(新墩),7.61,8,3.19,0.1,105.196902,37.499972
2021-6-20 8:00,中卫下河沿(新墩),7.62,8.06,3.17,0.05,105.196902,37.499972
2021-6-20 12:00,中卫下河沿(新墩),7.58,8.1,3.25,0.025,105.196902,37.499972
2021-6-20 16:00,中卫下河沿(新墩),7.571549296,8.094929577,3.256619718,0.026760563,105.196902,37.499972
2021-6-20 20:00,中卫下河沿(新墩),7.563098592,8.089859155,3.263239437,0.028521127,105.196902,37.499972
2021-6-21 0:00,中卫下河沿(新墩),7.554647887,8.084788732,3.269859155,0.03028169,105.196902,37.499972
2021-6-21 4:00,中卫下河沿(新墩),7.546197183,8.07971831,3.276478873,0.032042254,105.196902,37.499972
2021-6-21 8:00,中卫下河沿(新墩),7.537746479,8.074647887,3.283098592,0.033802817,105.196902,37.499972
2021-6-21 12:00,中卫下河沿(新墩),7.529295775,8.069577465,3.28971831,0.03556338,105.196902,37.499972
2021-6-21 16:00,中卫下河沿(新墩),7.52084507,8.064507042,3.296338028,0.037323944,105.196902,37.499972
2021-6-21 20:00,中卫下河沿(新墩),7.512394366,8.05943662,3.302957746,0.039084507,105.196902,37.499972
2021-6-22 0:00,中卫下河沿(新墩),7.503943662,8.054366197,3.309577465,0.04084507,105.196902,37.499972
2021-6-22 4:00,中卫下河沿(新墩),7.495492958,8.049295775,3.316197183,0.042605634,105.196902,37.499972
2021-6-22 8:00,中卫下河沿(新墩),7.487042254,8.044225352,3.322816901,0.044366197,105.196902,37.499972
2021-6-22 12:00,中卫下河沿(新墩),7.478591549,8.03915493,3.32943662,0.046126761,105.196902,37.499972
2021-6-22 16:00,中卫下河沿(新墩),7.470140845,8.034084507,3.336056338,0.047887324,105.196902,37.499972
2021-6-22 20:00,中卫下河沿(新墩),7.461690141,8.029014085,3.342676056,0.049647887,105.196902,37.499972
2021-6-23 0:00,中卫下河沿(新墩),7.453239437,8.023943662,3.349295775,0.051408451,105.196902,37.499972
2021-6-23 4:00,中卫下河沿(新墩),7.444788732,8.018873239,3.355915493,0.053169014,105.196902,37.499972
2021-6-23 8:00,中卫下河沿(新墩),7.436338028,8.013802817,3.362535211,0.054929577,105.196902,37.499972
2021-6-23 12:00,中卫下河沿(新墩),7.427887324,8.008732394,3.36915493,0.056690141,105.196902,37.499972
2021-6-23 16:00,中卫下河沿(新墩),7.41943662,8.003661972,3.375774648,0.058450704,105.196902,37.499972
2021-6-23 20:00,中卫下河沿(新墩),7.410985915,7.998591549,3.382394366,0.060211268,105.196902,37.499972
2021-6-24 0:00,中卫下河沿(新墩),7.402535211,7.993521127,3.389014085,0.061971831,105.196902,37.499972
2021-6-24 4:00,中卫下河沿(新墩),7.394084507,7.988450704,3.395633803,0.063732394,105.196902,37.499972
2021-6-24 8:00,中卫下河沿(新墩),7.385633803,7.983380282,3.402253521,0.065492958,105.196902,37.499972
2021-6-24 12:00,中卫下河沿(新墩),7.377183099,7.978309859,3.408873239,0.067253521,105.196902,37.499972
2021-6-24 16:00,中卫下河沿(新墩),7.368732394,7.973239437,3.415492958,0.069014085,105.196902,37.499972
2021-6-24 20:00,中卫下河沿(新墩),7.36028169,7.968169014,3.422112676,0.070774648,105.196902,37.499972
2021-6-25 0:00,中卫下河沿(新墩),7.351830986,7.963098592,3.428732394,0.072535211,105.196902,37.499972
2021-6-25 4:00,中卫下河沿(新墩),7.343380282,7.958028169,3.435352113,0.074295775,105.196902,37.499972
2021-6-25 8:00,中卫下河沿(新墩),7.334929577,7.952957746,3.441971831,0.076056338,105.196902,37.499972
2021-6-25 12:00,中卫下河沿(新墩),7.326478873,7.947887324,3.448591549,0.077816901,105.196902,37.499972
2021-6-25 16:00,中卫下河沿(新墩),7.318028169,7.942816901,3.455211268,0.079577465,105.196902,37.499972
2021-6-25 20:00,中卫下河沿(新墩),7.309577465,7.937746479,3.461830986,0.081338028,105.196902,37.499972
2021-6-26 0:00,中卫下河沿(新墩),7.301126761,7.932676056,3.468450704,0.083098592,105.196902,37.499972
2021-6-26 4:00,中卫下河沿(新墩),7.292676056,7.927605634,3.475070423,0.084859155,105.196902,37.499972
2021-6-26 8:00,中卫下河沿(新墩),7.284225352,7.922535211,3.481690141,0.086619718,105.196902,37.499972
2021-6-26 12:00,中卫下河沿(新墩),7.275774648,7.917464789,3.488309859,0.088380282,105.196902,37.499972
2021-6-26 16:00,中卫下河沿(新墩),7.267323944,7.912394366,3.494929577,0.090140845,105.196902,37.499972
2021-6-26 20:00,中卫下河沿(新墩),7.258873239,7.907323944,3.501549296,0.091901408,105.196902,37.499972
2021-6-27 0:00,中卫下河沿(新墩),7.250422535,7.902253521,3.508169014,0.093661972,105.196902,37.499972
2021-6-27 4:00,中卫下河沿(新墩),7.241971831,7.897183099,3.514788732,0.095422535,105.196902,37.499972
2021-6-27 8:00,中卫下河沿(新墩),7.233521127,7.892112676,3.521408451,0.097183099,105.196902,37.499972
2021-6-27 12:00,中卫下河沿(新墩),7.225070423,7.887042254,3.528028169,0.098943662,105.196902,37.499972
2021-6-27 16:00,中卫下河沿(新墩),7.216619718,7.881971831,3.534647887,0.100704225,105.196902,37.499972
2021-6-27 20:00,中卫下河沿(新墩),7.208169014,7.876901408,3.541267606,0.102464789,105.196902,37.499972
2021-6-28 0:00,中卫下河沿(新墩),7.19971831,7.871830986,3.547887324,0.104225352,105.196902,37.499972
2021-6-28 4:00,中卫下河沿(新墩),7.191267606,7.866760563,3.554507042,0.105985915,105.196902,37.499972
2021-6-28 8:00,中卫下河沿(新墩),7.182816901,7.861690141,3.561126761,0.107746479,105.196902,37.499972
2021-6-28 12:00,中卫下河沿(新墩),7.174366197,7.856619718,3.567746479,0.109507042,105.196902,37.499972
2021-6-28 16:00,中卫下河沿(新墩),7.165915493,7.851549296,3.574366197,0.111267606,105.196902,37.499972
2021-6-28 20:00,中卫下河沿(新墩),7.157464789,7.846478873,3.580985915,0.113028169,105.196902,37.499972
2021-6-29 0:00,中卫下河沿(新墩),7.149014085,7.841408451,3.587605634,0.114788732,105.196902,37.499972
2021-6-29 4:00,中卫下河沿(新墩),7.14056338,7.836338028,3.594225352,0.116549296,105.196902,37.499972
2021-6-29 8:00,中卫下河沿(新墩),7.132112676,7.831267606,3.60084507,0.118309859,105.196902,37.499972
2021-6-29 12:00,中卫下河沿(新墩),7.123661972,7.826197183,3.607464789,0.120070423,105.196902,37.499972
2021-6-29 16:00,中卫下河沿(新墩),7.115211268,7.821126761,3.614084507,0.121830986,105.196902,37.499972
2021-6-29 20:00,中卫下河沿(新墩),7.106760563,7.816056338,3.620704225,0.123591549,105.196902,37.499972
2021-6-30 0:00,中卫下河沿(新墩),7.098309859,7.810985915,3.627323944,0.125352113,105.196902,37.499972
2021-6-30 4:00,中卫下河沿(新墩),7.089859155,7.805915493,3.633943662,0.127112676,105.196902,37.499972
2021-6-30 8:00,中卫下河沿(新墩),7.081408451,7.80084507,3.64056338,0.128873239,105.196902,37.499972
2021-6-30 12:00,中卫下河沿(新墩),7.072957746,7.795774648,3.647183099,0.130633803,105.196902,37.499972
2021-6-30 16:00,中卫下河沿(新墩),7.064507042,7.790704225,3.653802817,0.132394366,105.196902,37.499972
2021-6-30 20:00,中卫下河沿(新墩),7.056056338,7.785633803,3.660422535,0.13415493,105.196902,37.499972
2021-7-1 0:00,中卫下河沿(新墩),7.047605634,7.78056338,3.667042254,0.135915493,105.196902,37.499972
2021-7-1 4:00,中卫下河沿(新墩),7.03915493,7.775492958,3.673661972,0.137676056,105.196902,37.499972
2021-7-1 8:00,中卫下河沿(新墩),7.030704225,7.770422535,3.68028169,0.13943662,105.196902,37.499972
2021-7-1 12:00,中卫下河沿(新墩),7.022253521,7.765352113,3.686901408,0.141197183,105.196902,37.499972
2021-7-1 16:00,中卫下河沿(新墩),7.013802817,7.76028169,3.693521127,0.142957746,105.196902,37.499972
2021-7-1 20:00,中卫下河沿(新墩),7.005352113,7.755211268,3.700140845,0.14471831,105.196902,37.499972
2021-7-2 0:00,中卫下河沿(新墩),6.996901408,7.750140845,3.706760563,0.146478873,105.196902,37.499972
2021-7-2 4:00,中卫下河沿(新墩),6.988450704,7.745070423,3.713380282,0.148239437,105.196902,37.499972
2021-7-2 8:00,中卫下河沿(新墩),6.98,7.74,3.72,0.15,105.196902,37.499972
2021-7-2 12:00,中卫下河沿(新墩),6.92,7.55,4.07,0.22,105.196902,37.499972
